car_id,brand_id,series_id,spec_id,guide_price,car_year,car_age,mileage,city_id,sale_price,brand_name,series_name,spec_name
车源号：HC-60421174,10021,2273,16269,14.3900,2012,6.0,3.33,110100,6.14,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-60425256,10021,2273,6990,13.4900,2009,10.0,4.34,110100,4.08,长安福特,福克斯,2009款 两厢 1.8AT 时尚型
车源号：HC-60425281,10021,2273,6990,13.4900,2009,10.0,3.86,110100,4.3,长安福特,福克斯,2009款 两厢 1.8AT 时尚型
车源号：HC-60496262,10021,2273,115848,11.3800,2015,4.0,2.25,110100,7,长安福特,福克斯,2015款 三厢 1.6L 手动舒适型
车源号：HC-60673513,10021,2273,16265,11.9900,2012,6.0,3.89,110100,5.1,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-60754716,10021,2273,16267,13.0900,2012,6.0,8.23,110100,5.6,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
车源号：HC-60886036,10021,2273,115845,13.6800,2015,3.0,4.33,110100,7.06,长安福特,福克斯,2015款 三厢 1.6L 自动风尚型
车源号：HC-60896692,10021,2273,11333,14.2800,2011,9.0,4.88,110100,3.8,长安福特,福克斯,2011款 两厢 2.0手动运动型
车源号：HC-60942371,10021,2273,16269,14.3900,2012,7.0,5.06,110100,7,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-60960844,10021,2273,115845,13.6800,2015,4.0,6.46,110100,6.3,长安福特,福克斯,2015款 三厢 1.6L 自动风尚型
车源号：HC-61012734,10021,2273,16269,14.3900,2012,8.0,5.35,110100,5.7,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-61016578,10021,2273,16272,14.3900,2012,5.0,5.44,110100,6.78,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-61022279,10021,2273,16269,14.3900,2012,7.0,8.25,110100,5,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-61079336,10021,2273,120503,13.8800,2017,3.0,1.92,110100,8,长安福特,福克斯,2017款 两厢 1.6L 双离合 风尚型智行版
车源号：HC-61082722,10021,2273,16272,14.3900,2012,6.0,6.77,110100,5.42,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-61088239,10021,2273,115849,14.9800,2015,4.0,4.16,110100,8.55,长安福特,福克斯,2015款 两厢 Ecoboost180 自动 精英型
车源号：HC-61255549,10021,2273,11333,14.2800,2011,8.0,9.32,110100,3.7,长安福特,福克斯,2011款 两厢 2.0手动运动型
车源号：HC-61432028,10021,2273,16272,14.3900,2012,6.0,7.71,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 自动 风尚型
车源号：HC-61478272,10021,2273,16265,11.9900,2012,5.0,3.06,110100,5.5,长安福特,福克斯,2012款 三厢 1.6L 手动 舒适型
车源号：HC-61541510,10021,2273,16271,13.2900,2012,6.0,6.52,110100,6,长安福特,福克斯,2012款 三厢 1.6L 手动 风尚型
车源号：HC-61589022,10021,2273,16269,14.3900,2012,4.0,4.18,110100,6.57,长安福特,福克斯,2012款 两厢 1.6L 自动 风尚型
车源号：HC-61686443,10021,2273,16267,13.0900,2012,6.0,7.59,110100,6.5,长安福特,福克斯,2012款 两厢 1.6L 自动 舒适型
